,FECHA,TMAX,TMIN,T_AVE,NOMBRE
1737,Jun-22,12.2,-1.5,5.35,NUEVE DE JULIO
1373,Jun-22,12.0,1.9,6.95,MORON AERO
1008,Jun-22,11.5,2.6,7.05,EL PALOMAR AERO
643,Jun-22,12.1,3.0,7.55,BUENOS AIRES OBSERVATORIO
278,Jun-22,11.5,4.2,7.85,AEROPARQUE AERO
1736,Jun-22,18.1,-0.2,8.950000000000001,NUEVE DE JULIO
1372,Jun-22,15.2,0.4,7.8,MORON AERO
1007,Jun-22,15.5,-3.4,6.05,EL PALOMAR AERO
642,Jun-22,16.2,2.5,9.35,BUENOS AIRES OBSERVATORIO
277,Jun-22,15.7,4.6,10.15,AEROPARQUE AERO
1735,Jun-22,22.1,1.9,12.0,NUEVE DE JULIO
1371,Jun-22,19.7,0.9,10.3,MORON AERO
1006,Jun-22,19.5,-2.5,8.5,EL PALOMAR AERO
641,Jun-22,19.3,3.2,11.25,BUENOS AIRES OBSERVATORIO
276,Jun-22,14.6,6.4,10.5,AEROPARQUE AERO
1734,Jun-22,20.9,5.3,13.1,NUEVE DE JULIO
1370,Jun-22,19.5,3.9,11.7,MORON AERO
1005,Jun-22,20.0,-0.2,9.9,EL PALOMAR AERO
640,Jun-22,18.5,6.3,12.4,BUENOS AIRES OBSERVATORIO
275,Jun-22,16.2,7.4,11.8,AEROPARQUE AERO
1733,Jun-22,17.0,7.1,12.05,NUEVE DE JULIO
1369,Jun-22,17.8,7.8,12.8,MORON AERO
1004,Jun-22,18.5,7.0,12.75,EL PALOMAR AERO
639,Jun-22,17.3,9.9,13.6,BUENOS AIRES OBSERVATORIO
274,Jun-22,15.6,9.3,12.45,AEROPARQUE AERO
1732,Jun-22,20.0,4.1,12.05,NUEVE DE JULIO
1368,Jun-22,19.0,5.9,12.45,MORON AERO
1003,Jun-22,19.3,2.7,11.0,EL PALOMAR AERO
638,Jun-22,19.3,9.1,14.2,BUENOS AIRES OBSERVATORIO
273,Jun-22,15.6,9.6,12.6,AEROPARQUE AERO
1731,Jun-22,11.6,3.5,7.55,NUEVE DE JULIO
1367,Jun-22,17.5,5.5,11.5,MORON AERO
1002,Jun-22,18.0,4.5,11.25,EL PALOMAR AERO
637,Jun-22,18.4,8.7,13.55,BUENOS AIRES OBSERVATORIO
272,Jun-22,17.2,9.5,13.35,AEROPARQUE AERO
1730,Jun-22,11.9,2.3,7.1,NUEVE DE JULIO
1366,Jun-22,13.0,3.5,8.25,MORON AERO
1001,Jun-22,13.0,3.6,8.3,EL PALOMAR AERO
636,Jun-22,13.5,5.0,9.25,BUENOS AIRES OBSERVATORIO
271,Jun-22,13.2,5.8,9.5,AEROPARQUE AERO
1729,Jun-22,15.9,0.2,8.05,NUEVE DE JULIO
1365,Jun-22,16.2,-0.1,8.049999999999999,MORON AERO
1000,Jun-22,16.7,-4.6,6.05,EL PALOMAR AERO
635,Jun-22,17.3,1.5,9.4,BUENOS AIRES OBSERVATORIO
270,Jun-22,16.6,3.4,10.0,AEROPARQUE AERO
1728,Jun-22,18.1,5.2,11.65,NUEVE DE JULIO
1364,Jun-22,17.8,6.4,12.1,MORON AERO
999,Jun-22,17.6,3.8,10.7,EL PALOMAR AERO
634,Jun-22,18.7,6.9,12.8,BUENOS AIRES OBSERVATORIO
269,Jun-22,18.0,6.4,12.2,AEROPARQUE AERO
1727,Jun-22,14.8,3.2,9.0,NUEVE DE JULIO
1363,Jun-22,15.5,3.4,9.45,MORON AERO
998,Jun-22,15.4,-0.1,7.65,EL PALOMAR AERO
633,Jun-22,15.4,5.7,10.55,BUENOS AIRES OBSERVATORIO
268,Jun-22,13.4,7.6,10.5,AEROPARQUE AERO
1726,Jun-22,13.0,3.2,8.1,NUEVE DE JULIO
1362,Jun-22,14.9,4.9,9.9,MORON AERO
997,Jun-22,15.5,3.8,9.65,EL PALOMAR AERO
632,Jun-22,16.2,7.4,11.8,BUENOS AIRES OBSERVATORIO
267,Jun-22,15.5,9.1,12.3,AEROPARQUE AERO
1725,Jun-22,9.0,1.3,5.15,NUEVE DE JULIO
1361,Jun-22,10.2,2.7,6.449999999999999,MORON AERO
996,Jun-22,10.2,3.2,6.699999999999999,EL PALOMAR AERO
631,Jun-22,10.5,4.4,7.45,BUENOS AIRES OBSERVATORIO
266,Jun-22,10.3,4.9,7.6,AEROPARQUE AERO
1724,Jun-22,10.7,0.5,5.6,NUEVE DE JULIO
1360,Jun-22,10.8,4.3,7.550000000000001,MORON AERO
995,Jun-22,10.5,4.6,7.55,EL PALOMAR AERO
630,Jun-22,10.3,5.1,7.7,BUENOS AIRES OBSERVATORIO
265,Jun-22,10.3,5.8,8.05,AEROPARQUE AERO
1723,Jun-22,12.2,2.5,7.35,NUEVE DE JULIO
1359,Jun-22,12.5,5.9,9.2,MORON AERO
994,Jun-22,12.7,7.4,10.05,EL PALOMAR AERO
629,Jun-22,12.2,8.0,10.1,BUENOS AIRES OBSERVATORIO
264,Jun-22,11.5,8.3,9.9,AEROPARQUE AERO
1722,Jun-22,9.6,0.6,5.1,NUEVE DE JULIO
1358,Jun-22,11.2,-0.5,5.35,MORON AERO
993,Jun-22,11.7,-0.5,5.6,EL PALOMAR AERO
628,Jun-22,12.2,2.6,7.399999999999999,BUENOS AIRES OBSERVATORIO
263,Jun-22,12.1,5.1,8.6,AEROPARQUE AERO
1721,Jun-22,10.2,0.6,5.4,NUEVE DE JULIO
1357,Jun-22,11.4,4.9,8.15,MORON AERO
992,Jun-22,10.5,3.6,7.05,EL PALOMAR AERO
627,Jun-22,10.4,6.3,8.35,BUENOS AIRES OBSERVATORIO
262,Jun-22,10.3,7.3,8.8,AEROPARQUE AERO
1720,Jun-22,14.5,5.4,9.95,NUEVE DE JULIO
1356,Jun-22,12.0,7.6,9.8,MORON AERO
991,Jun-22,12.5,6.9,9.7,EL PALOMAR AERO
626,Jun-22,12.6,8.6,10.6,BUENOS AIRES OBSERVATORIO
261,Jun-22,11.5,8.4,9.95,AEROPARQUE AERO
1719,Jun-22,20.0,6.5,13.25,NUEVE DE JULIO
1355,Jun-22,15.6,7.3,11.45,MORON AERO
990,Jun-22,16.0,3.0,9.5,EL PALOMAR AERO
625,Jun-22,15.3,9.3,12.3,BUENOS AIRES OBSERVATORIO
260,Jun-22,16.0,9.8,12.9,AEROPARQUE AERO
1718,Jun-22,19.7,5.3,12.5,NUEVE DE JULIO
1354,Jun-22,19.4,4.9,12.15,MORON AERO
989,Jun-22,19.6,0.9,10.25,EL PALOMAR AERO
624,Jun-22,20.2,7.2,13.7,BUENOS AIRES OBSERVATORIO
259,Jun-22,19.1,7.8,13.45,AEROPARQUE AERO
1717,Jun-22,16.6,5.3,10.95,NUEVE DE JULIO
1353,Jun-22,17.5,5.5,11.5,MORON AERO
988,Jun-22,17.4,2.0,9.7,EL PALOMAR AERO
623,Jun-22,18.2,8.8,13.5,BUENOS AIRES OBSERVATORIO
258,Jun-22,15.3,9.5,12.4,AEROPARQUE AERO
1716,Jul-22,10.0,2.8,6.4,NUEVE DE JULIO
1352,Jul-22,12.5,6.9,9.7,MORON AERO
987,Jul-22,12.7,1.5,7.1,EL PALOMAR AERO
622,Jul-22,12.6,9.8,11.2,BUENOS AIRES OBSERVATORIO
257,Jul-22,12.6,9.2,10.9,AEROPARQUE AERO
1715,Jul-22,14.3,3.6,8.950000000000001,NUEVE DE JULIO
1351,Jul-22,13.2,4.1,8.649999999999999,MORON AERO
986,Jul-22,13.5,0.9,7.2,EL PALOMAR AERO
621,Jul-22,14.5,6.7,10.6,BUENOS AIRES OBSERVATORIO
256,Jul-22,14.3,8.2,11.25,AEROPARQUE AERO
1714,Jul-22,16.5,-2.1,7.2,NUEVE DE JULIO
1350,Jul-22,15.0,-1.1,6.95,MORON AERO
985,Jul-22,15.5,-3.5,6.0,EL PALOMAR AERO
620,Jul-22,15.6,2.9,9.25,BUENOS AIRES OBSERVATORIO
255,Jul-22,13.1,4.7,8.9,AEROPARQUE AERO
1713,Jul-22,14.4,6.0,10.2,NUEVE DE JULIO
1349,Jul-22,12.7,7.5,10.1,MORON AERO
984,Jul-22,14.0,5.6,9.8,EL PALOMAR AERO
619,Jul-22,14.0,8.8,11.4,BUENOS AIRES OBSERVATORIO
254,Jul-22,13.0,8.8,10.9,AEROPARQUE AERO
1712,Jul-22,15.5,-1.2,7.15,NUEVE DE JULIO
1348,Jul-22,16.0,9.4,12.7,MORON AERO
983,Jul-22,15.3,9.5,12.4,EL PALOMAR AERO
618,Jul-22,14.5,10.1,12.3,BUENOS AIRES OBSERVATORIO
253,Jul-22,12.9,9.0,10.95,AEROPARQUE AERO
1711,Jul-22,15.0,5.3,10.15,NUEVE DE JULIO
1347,Jul-22,13.3,8.8,11.05,MORON AERO
982,Jul-22,13.6,7.0,10.3,EL PALOMAR AERO
617,Jul-22,14.5,9.4,11.95,BUENOS AIRES OBSERVATORIO
252,Jul-22,14.0,9.3,11.65,AEROPARQUE AERO
1710,Jul-22,15.2,2.6,8.9,NUEVE DE JULIO
1346,Jul-22,14.0,5.0,9.5,MORON AERO
981,Jul-22,14.0,1.2,7.6,EL PALOMAR AERO
616,Jul-22,15.1,7.0,11.05,BUENOS AIRES OBSERVATORIO
251,Jul-22,14.8,7.9,11.35,AEROPARQUE AERO
1709,Jul-22,14.1,-0.5,6.8,NUEVE DE JULIO
1345,Jul-22,14.4,-0.1,7.15,MORON AERO
980,Jul-22,14.0,-3.7,5.15,EL PALOMAR AERO
615,Jul-22,14.2,2.6,8.4,BUENOS AIRES OBSERVATORIO
250,Jul-22,13.7,5.1,9.4,AEROPARQUE AERO
1708,Jul-22,19.1,9.6,14.35,NUEVE DE JULIO
1344,Jul-22,18.4,10.4,14.4,MORON AERO
979,Jul-22,18.7,10.5,14.6,EL PALOMAR AERO
614,Jul-22,19.0,11.1,15.05,BUENOS AIRES OBSERVATORIO
249,Jul-22,16.6,10.8,13.7,AEROPARQUE AERO
1707,Jul-22,19.3,10.8,15.05,NUEVE DE JULIO
1343,Jul-22,20.2,14.3,17.25,MORON AERO
978,Jul-22,22.0,13.9,17.95,EL PALOMAR AERO
613,Jul-22,20.9,15.0,17.95,BUENOS AIRES OBSERVATORIO
248,Jul-22,21.5,14.8,18.15,AEROPARQUE AERO
1706,Jul-22,11.9,3.8,7.85,NUEVE DE JULIO
1342,Jul-22,14.4,8.8,11.6,MORON AERO
977,Jul-22,14.1,8.9,11.5,EL PALOMAR AERO
612,Jul-22,15.4,9.3,12.35,BUENOS AIRES OBSERVATORIO
247,Jul-22,15.6,9.3,12.45,AEROPARQUE AERO
1705,Jul-22,13.1,-0.2,6.45,NUEVE DE JULIO
1341,Jul-22,11.6,0.8,6.2,MORON AERO
976,Jul-22,12.4,-1.0,5.7,EL PALOMAR AERO
611,Jul-22,13.1,2.8,7.949999999999999,BUENOS AIRES OBSERVATORIO
246,Jul-22,11.9,4.6,8.25,AEROPARQUE AERO
1704,Jul-22,18.2,2.9,10.55,NUEVE DE JULIO
1340,Jul-22,17.0,4.5,10.75,MORON AERO
975,Jul-22,17.0,5.0,11.0,EL PALOMAR AERO
610,Jul-22,15.9,7.2,11.55,BUENOS AIRES OBSERVATORIO
245,Jul-22,14.4,7.3,10.85,AEROPARQUE AERO
1703,Jul-22,16.6,5.3,10.95,NUEVE DE JULIO
1339,Jul-22,15.0,8.5,11.75,MORON AERO
974,Jul-22,14.5,8.4,11.45,EL PALOMAR AERO
609,Jul-22,13.9,10.0,11.95,BUENOS AIRES OBSERVATORIO
244,Jul-22,14.2,9.7,11.95,AEROPARQUE AERO
1702,Jul-22,11.8,5.8,8.8,NUEVE DE JULIO
1338,Jul-22,12.2,8.1,10.15,MORON AERO
973,Jul-22,11.5,8.0,9.75,EL PALOMAR AERO
608,Jul-22,12.2,9.2,10.7,BUENOS AIRES OBSERVATORIO
243,Jul-22,13.3,8.5,10.9,AEROPARQUE AERO
1701,Jul-22,11.1,6.0,8.55,NUEVE DE JULIO
1337,Jul-22,11.0,8.3,9.65,MORON AERO
972,Jul-22,11.4,8.9,10.15,EL PALOMAR AERO
607,Jul-22,11.5,8.9,10.2,BUENOS AIRES OBSERVATORIO
242,Jul-22,11.7,8.4,10.05,AEROPARQUE AERO
1700,Jul-22,14.5,-0.3,7.1,NUEVE DE JULIO
1336,Jul-22,14.2,0.7,7.449999999999999,MORON AERO
971,Jul-22,14.5,0.4,7.45,EL PALOMAR AERO
606,Jul-22,14.5,2.5,8.5,BUENOS AIRES OBSERVATORIO
241,Jul-22,14.1,2.3,8.2,AEROPARQUE AERO
1699,Jul-22,15.3,2.4,8.85,NUEVE DE JULIO
1335,Jul-22,16.6,5.2,10.9,MORON AERO
970,Jul-22,17.6,5.3,11.45,EL PALOMAR AERO
605,Jul-22,18.1,6.3,12.2,BUENOS AIRES OBSERVATORIO
240,Jul-22,17.7,5.4,11.55,AEROPARQUE AERO
1698,Jul-22,18.0,0.8,9.4,NUEVE DE JULIO
1334,Jul-22,17.0,0.0,8.5,MORON AERO
969,Jul-22,16.8,-2.5,7.15,EL PALOMAR AERO
604,Jul-22,16.4,3.6,10.0,BUENOS AIRES OBSERVATORIO
239,Jul-22,14.2,6.8,10.5,AEROPARQUE AERO
1697,Jul-22,20.6,4.5,12.55,NUEVE DE JULIO
1333,Jul-22,20.0,6.9,13.45,MORON AERO
968,Jul-22,20.2,5.1,12.65,EL PALOMAR AERO
603,Jul-22,18.0,9.0,13.5,BUENOS AIRES OBSERVATORIO
238,Jul-22,15.7,8.4,12.05,AEROPARQUE AERO
1696,Jul-22,19.0,5.6,12.3,NUEVE DE JULIO
1332,Jul-22,19.5,8.3,13.9,MORON AERO
967,Jul-22,19.7,3.4,11.55,EL PALOMAR AERO
602,Jul-22,19.6,11.3,15.45,BUENOS AIRES OBSERVATORIO
237,Jul-22,19.5,10.2,14.85,AEROPARQUE AERO
1695,Jul-22,18.7,3.3,11.0,NUEVE DE JULIO
1331,Jul-22,18.6,3.4,11.0,MORON AERO
966,Jul-22,19.0,2.7,10.85,EL PALOMAR AERO
601,Jul-22,19.2,7.0,13.1,BUENOS AIRES OBSERVATORIO
236,Jul-22,17.2,9.1,13.15,AEROPARQUE AERO
1694,Jul-22,16.7,7.2,11.95,NUEVE DE JULIO
1330,Jul-22,16.5,9.5,13.0,MORON AERO
965,Jul-22,16.5,9.5,13.0,EL PALOMAR AERO
600,Jul-22,16.6,11.6,14.1,BUENOS AIRES OBSERVATORIO
235,Jul-22,15.2,10.8,13.0,AEROPARQUE AERO
1693,Jul-22,16.8,10.9,13.85,NUEVE DE JULIO
1329,Jul-22,16.6,14.7,15.65,MORON AERO
964,Jul-22,16.5,14.0,15.25,EL PALOMAR AERO
599,Jul-22,15.8,13.5,14.65,BUENOS AIRES OBSERVATORIO
234,Jul-22,15.3,11.9,13.6,AEROPARQUE AERO
1692,Jul-22,14.1,9.6,11.85,NUEVE DE JULIO
1328,Jul-22,16.6,11.5,14.05,MORON AERO
963,Jul-22,17.2,12.6,14.9,EL PALOMAR AERO
598,Jul-22,16.9,12.8,14.85,BUENOS AIRES OBSERVATORIO
233,Jul-22,15.8,11.8,13.8,AEROPARQUE AERO
1691,Jul-22,20.4,13.3,16.85,NUEVE DE JULIO
1327,Jul-22,23.0,13.4,18.2,MORON AERO
962,Jul-22,22.5,14.4,18.45,EL PALOMAR AERO
597,Jul-22,22.7,15.1,18.9,BUENOS AIRES OBSERVATORIO
232,Jul-22,20.8,14.1,17.45,AEROPARQUE AERO
1690,Jul-22,18.0,12.6,15.3,NUEVE DE JULIO
1326,Jul-22,19.8,16.4,18.1,MORON AERO
961,Jul-22,20.0,16.0,18.0,EL PALOMAR AERO
596,Jul-22,19.6,15.5,17.55,BUENOS AIRES OBSERVATORIO
231,Jul-22,19.6,14.5,17.05,AEROPARQUE AERO
1689,Jul-22,14.4,6.1,10.25,NUEVE DE JULIO
1325,Jul-22,16.7,9.1,12.9,MORON AERO
960,Jul-22,17.1,10.0,13.55,EL PALOMAR AERO
595,Jul-22,16.8,10.1,13.45,BUENOS AIRES OBSERVATORIO
230,Jul-22,16.8,9.9,13.35,AEROPARQUE AERO
1688,Jul-22,20.4,3.3,11.85,NUEVE DE JULIO
1324,Jul-22,18.0,3.8,10.9,MORON AERO
959,Jul-22,18.6,2.8,10.7,EL PALOMAR AERO
594,Jul-22,19.2,5.8,12.5,BUENOS AIRES OBSERVATORIO
229,Jul-22,18.1,6.8,12.45,AEROPARQUE AERO
1687,Jul-22,22.3,5.0,13.65,NUEVE DE JULIO
1323,Jul-22,21.0,4.9,12.95,MORON AERO
958,Jul-22,21.4,0.5,10.95,EL PALOMAR AERO
593,Jul-22,20.5,8.3,14.4,BUENOS AIRES OBSERVATORIO
228,Jul-22,17.2,8.1,12.65,AEROPARQUE AERO
1686,Jul-22,21.8,8.8,15.3,NUEVE DE JULIO
1322,Jul-22,18.9,9.3,14.1,MORON AERO
957,Jul-22,18.6,7.0,12.8,EL PALOMAR AERO
592,Jul-22,19.0,10.4,14.7,BUENOS AIRES OBSERVATORIO
227,Jul-22,17.4,10.7,14.05,AEROPARQUE AERO
1685,Aug-22,21.0,5.8,13.4,NUEVE DE JULIO
1321,Aug-22,19.2,4.6,11.9,MORON AERO
956,Aug-22,18.7,2.6,10.65,EL PALOMAR AERO
591,Aug-22,18.6,8.4,13.5,BUENOS AIRES OBSERVATORIO
226,Aug-22,16.6,10.3,13.45,AEROPARQUE AERO
1684,Aug-22,18.4,4.6,11.5,NUEVE DE JULIO
1320,Aug-22,17.0,8.7,12.85,MORON AERO
955,Aug-22,17.0,4.5,10.75,EL PALOMAR AERO
590,Aug-22,16.2,10.3,13.25,BUENOS AIRES OBSERVATORIO
225,Aug-22,15.6,11.1,13.35,AEROPARQUE AERO
1683,Aug-22,14.1,7.1,10.6,NUEVE DE JULIO
1319,Aug-22,16.0,8.9,12.45,MORON AERO
954,Aug-22,16.4,8.0,12.2,EL PALOMAR AERO
589,Aug-22,15.8,10.2,13.0,BUENOS AIRES OBSERVATORIO
224,Aug-22,16.1,10.2,13.15,AEROPARQUE AERO
1682,Aug-22,16.0,6.6,11.3,NUEVE DE JULIO
1318,Aug-22,14.2,7.5,10.85,MORON AERO
953,Aug-22,13.5,0.4,6.95,EL PALOMAR AERO
588,Aug-22,13.6,7.9,10.75,BUENOS AIRES OBSERVATORIO
223,Aug-22,14.1,7.4,10.75,AEROPARQUE AERO
1681,Aug-22,18.7,3.2,10.95,NUEVE DE JULIO
1317,Aug-22,16.8,2.0,9.4,MORON AERO
952,Aug-22,17.0,-2.1,7.45,EL PALOMAR AERO
587,Aug-22,17.8,4.3,11.05,BUENOS AIRES OBSERVATORIO
222,Aug-22,17.1,5.8,11.45,AEROPARQUE AERO
1680,Aug-22,16.5,4.8,10.65,NUEVE DE JULIO
1316,Aug-22,17.2,3.7,10.45,MORON AERO
951,Aug-22,17.5,0.0,8.75,EL PALOMAR AERO
586,Aug-22,17.0,6.6,11.8,BUENOS AIRES OBSERVATORIO
221,Aug-22,15.6,7.5,11.55,AEROPARQUE AERO
1679,Aug-22,14.3,5.8,10.05,NUEVE DE JULIO
1315,Aug-22,15.0,8.4,11.7,MORON AERO
950,Aug-22,15.0,8.0,11.5,EL PALOMAR AERO
585,Aug-22,15.1,8.7,11.9,BUENOS AIRES OBSERVATORIO
220,Aug-22,13.7,8.8,11.25,AEROPARQUE AERO
1678,Aug-22,11.9,2.6,7.25,NUEVE DE JULIO
1314,Aug-22,14.2,5.1,9.65,MORON AERO
949,Aug-22,14.0,5.4,9.7,EL PALOMAR AERO
584,Aug-22,14.4,5.7,10.05,BUENOS AIRES OBSERVATORIO
219,Aug-22,14.5,7.4,10.95,AEROPARQUE AERO
1677,Aug-22,14.8,1.9,8.35,NUEVE DE JULIO
1313,Aug-22,13.6,7.5,10.55,MORON AERO
948,Aug-22,14.4,8.0,11.2,EL PALOMAR AERO
583,Aug-22,14.9,9.4,12.15,BUENOS AIRES OBSERVATORIO
218,Aug-22,13.6,9.9,11.75,AEROPARQUE AERO
1676,Aug-22,16.8,2.8,9.8,NUEVE DE JULIO
1312,Aug-22,15.5,5.4,10.45,MORON AERO
947,Aug-22,15.1,0.5,7.8,EL PALOMAR AERO
582,Aug-22,14.8,9.0,11.9,BUENOS AIRES OBSERVATORIO
217,Aug-22,13.5,9.0,11.25,AEROPARQUE AERO
1675,Aug-22,20.2,2.7,11.45,NUEVE DE JULIO
1311,Aug-22,18.4,6.0,12.2,MORON AERO
946,Aug-22,19.0,6.5,12.75,EL PALOMAR AERO
581,Aug-22,18.5,9.2,13.85,BUENOS AIRES OBSERVATORIO
216,Aug-22,16.6,9.8,13.2,AEROPARQUE AERO
1674,Aug-22,21.3,5.3,13.3,NUEVE DE JULIO
1310,Aug-22,20.0,8.4,14.2,MORON AERO
945,Aug-22,20.0,8.5,14.25,EL PALOMAR AERO
580,Aug-22,19.2,10.6,14.9,BUENOS AIRES OBSERVATORIO
215,Aug-22,17.1,10.4,13.75,AEROPARQUE AERO
1673,Aug-22,25.4,7.3,16.349999999999998,NUEVE DE JULIO
1309,Aug-22,24.5,8.5,16.5,MORON AERO
944,Aug-22,23.5,5.5,14.5,EL PALOMAR AERO
579,Aug-22,22.5,11.0,16.75,BUENOS AIRES OBSERVATORIO
214,Aug-22,20.0,12.1,16.05,AEROPARQUE AERO
1672,Aug-22,25.5,9.4,17.45,NUEVE DE JULIO
1308,Aug-22,24.6,14.1,19.35,MORON AERO
943,Aug-22,24.0,13.5,18.75,EL PALOMAR AERO
578,Aug-22,23.4,14.8,19.1,BUENOS AIRES OBSERVATORIO
213,Aug-22,20.7,14.1,17.4,AEROPARQUE AERO
1671,Aug-22,18.5,8.8,13.65,NUEVE DE JULIO
1307,Aug-22,21.6,9.8,15.7,MORON AERO
942,Aug-22,20.5,8.8,14.65,EL PALOMAR AERO
